,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist,duration_min,hot100
76,3X1VGaI0ASWbKRGKZxYwvv,Jenny from the Block - Karaoke Version In the Style of Jennifer Lopez,0,168307,0,['Charttraxx Karaoke'],['4zjsIwpsKH0a8aXYHWWOqc'],2010-11-30,0.925,0.676,6,-7.434,1,0.0858,0.138,0.335,0.065,0.967,100.035,4,Charttraxx Karaoke,2.8051166666666667,False
77,7bznzicO9bLBhe6SufE0Vw,Best of My Love - Single Version,46,218707,0,['The Emotions'],['64CuUOOirKmdAYLQSfaOyr'],2010-03-01,0.772,0.633,0,-10.24,1,0.0334,0.0375,0.0168,0.0497,0.969,115.601,4,The Emotions,3.6451166666666666,False
78,788Lp6lHrCrxJAZvS2l9YZ,Dum Dum,46,310988,0,"['Salim–Sulaiman', 'Benny Dayal', 'Himani Kapoor', 'Amitabh Bhattacharya']","['6ohaQzKaXrobAL8paLSaxq', '61if35zz1W11GejEkxTLEQ', '6G2dxtT1uVQuzErBZsw7Ur', '2fMqTqiTxUDlmcOEPaQSsx']",2010-03-11,0.748,0.812,0,-7.938,1,0.0471,0.0634,0.00146,0.114,0.906,99.994,4,Salim–Sulaiman,5.183133333333333,False
79,3Yub3anoLj8w58TVpEXUJv,It Is Not Meant To Be,53,321533,0,['Tame Impala'],['5INjqkS1o8h1imAzPqGZBb'],2010-05-21,0.429,0.895,0,-4.677,1,0.0412,0.0133,0.00127,0.45,0.455,102.062,4,Tame Impala,5.358883333333333,False
80,0C7dB2HDzhC4718PHBhHpz,Ele İnat,40,229800,0,['Berkay'],['5juVQV1lGuA4o5IrLwpZar'],2010-09-14,0.655,0.659,7,-10.277,0,0.0342,0.238,6.07e-05,0.0758,0.738,126.007,4,Berkay,3.83,False
81,3D9LgIPzliwr0JgtRB4Hsw,Mafia Nueva,47,146391,1,['El Komander'],['2wC90WSKQd0BvdxJZ0mObr'],2010-09-27,0.77,0.461,10,-12.764,1,0.0548,0.456,4.74e-06,0.0851,0.951,117.463,3,El Komander,2.43985,False
82,1A5tF1IAk2bfvFsuP6qy3Z,Thunder Storm,54,334264,0,['Native American Meditations'],['2J0vvlL7LWu4kRpHmOfKOY'],2010-09-03,0.083,0.621,2,-19.024,1,0.0857,0.000474,0.952,0.345,0.00392,86.373,4,Native American Meditations,5.571066666666667,False
83,5SyOKtKMFQuZdto1Ec3rrI,Cae la Lluvia,19,277000,0,['Raíces SCZ'],['5BnhpLbuLL02hkQq7COjF4'],2010-08-27,0.612,0.561,2,-8.526,0,0.162,0.866,0.00157,0.113,0.75,137.318,4,Raíces SCZ,4.616666666666666,False
84,1tlli4qq3WJANcXdC1ZM6h,J'accuse,50,268533,0,['Saez'],['2yQBgACksUJgNKh1JWPWPe'],2010-03-29,0.743,0.712,9,-5.018,0,0.0624,0.0759,0.0,0.0785,0.884,107.013,4,Saez,4.47555,False
85,15AbuFJdFrbINydSMSqVhV,Aléjate de Mí,68,258533,0,['Camila'],['2gRP1Ezbtj3qrERnd0XasU'],2010-02-09,0.464,0.536,1,-8.372,0,0.0472,0.159,0.0,0.0969,0.252,145.772,4,Camila,4.308883333333333,False
