id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist,duration_min,hot100
5AyL2kgLtTWEu3qO3B9SqK,Like A G6,75,216893,0,"['Far East Movement', 'The Cataracs', 'DEV']","['698hF4vcwHwPy8ltmXermq', '7C64wNX3howEFZjAYRKsfP', '7Ip2u3e5Nv6fFb5xyIHxEE']",2010-01-01,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,4,Far East Movement,3.6148833333333332,True
5l6GqSxplqnZbLg0LTPQeG,Back To December,68,293040,0,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],2010-01-01,0.517,0.606,2,-5.797,1,0.0289,0.0202,0.0,0.324,0.296,141.929,4,Taylor Swift,4.884,True
1kMuU3TNQvHbqvXCWBodmP,Right Above It,70,271947,1,"['Lil Wayne', 'Drake']","['55Aa2cqylxrFIXC767Z865', '3TVXtAsR1Inumwj472S9r4']",2010-01-01,0.376,0.841,3,-4.348,0,0.356,0.0435,0.0,0.578,0.463,76.052,4,Lil Wayne,4.53245,True
0x3TibRgnSqzkcwrqBd4iX,Down On Me,73,228453,0,"['Jeremih', '50 Cent']","['3KV3p5EY4AvKxOlhGHORLg', '3q7HBObVc0L8jNeTe5Gofh']",2010-01-01,0.7,0.598,2,-7.783,1,0.114,0.0369,0.0,0.111,0.594,160.041,4,Jeremih,3.80755,True
2Adn2LNgkHMH5TelQVAu4n,Pretty Girl Rock,69,243920,0,['Keri Hilson'],['63wjoROpeh5f11Qm93UiJ1'],2010-01-01,0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014,4,Keri Hilson,4.065333333333333,True
45EDI3rk0f4cAMt9f8b56R,Impossible,69,226533,0,['Shontelle'],['4M6Z1wubeKtwPqbjJygTOc'],2010-01-01,0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034,4,Shontelle,3.77555,True
3ZuiIFm9nRnkRz8AZAekjJ,Rocketeer,65,211253,0,"['Far East Movement', 'Ryan Tedder', 'Ruff Loaderz']","['698hF4vcwHwPy8ltmXermq', '4we5S2VLjgY9KzIzApL1KI', '5JOIrGvup0vD5VjodB62Ui']",2010-01-01,0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005,4,Far East Movement,3.5208833333333334,True
79R98MwYRcQZdAzjjzUbiX,Tonight (I'm Lovin' You),50,231293,0,"['Enrique Iglesias', 'Ludacris', 'DJ Frank E']","['7qG3b048QCHVRO5Pv1T5lw', '3ipn9JLAPI5GUEo4y4jcoi', '4yt2wdqvcHygghx9iNUb6i']",2010-01-01,0.651,0.884,0,-3.986,0,0.0533,0.0242,5.36e-06,0.202,0.285,125.941,4,Enrique Iglesias,3.8548833333333334,True
7xkQdy0cy5ymoWT7nedvLz,Whatcha Say,74,221253,0,['Jason Derulo'],['07YZf4WDAMNwqr4jfgOZ8y'],2010-02-26,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,4,Jason Derulo,3.68755,True
6OEolOOk9Gh9bqkdpfIOl0,Ridin' Solo,69,215747,0,['Jason Derulo'],['07YZf4WDAMNwqr4jfgOZ8y'],2010-02-26,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,4,Jason Derulo,3.5957833333333333,True
6St9lR6dhV2tpCNVz7qfrS,In My Head,70,199027,0,['Jason Derulo'],['07YZf4WDAMNwqr4jfgOZ8y'],2010-02-26,0.762,0.748,0,-4.15,0,0.033,0.0266,0.0,0.348,0.851,110.009,4,Jason Derulo,3.3171166666666667,True
4vVTI94F9uJ8lHNDWKv0i2,Eenie Meenie,79,201947,0,"['Sean Kingston', 'Justin Bieber']","['6S0dmVVn4udvppDhZIWxCr', '1uNFoZAHBGtllmzznpCI3s']",2010-03-23,0.72,0.607,1,-4.168,1,0.0322,0.0543,0.0,0.113,0.828,121.223,4,Sean Kingston,3.3657833333333333,True
6IUiqtI8tE49sqGbmtrNd8,There Goes My Baby,60,281293,0,['Usher'],['23zg3TcAtWQy7J6upgbUnj'],2010-03-30,0.626,0.52,9,-8.077,0,0.0892,0.175,0.0,0.13,0.257,77.468,4,Usher,4.6882166666666665,True
030OCtLMrljNhp8OWHBWW3,Hey Daddy (Daddy's Home),61,224093,0,['Usher'],['23zg3TcAtWQy7J6upgbUnj'],2010-03-30,0.59,0.698,11,-4.262,1,0.0286,0.000176,0.0,0.107,0.352,95.975,4,Usher,3.7348833333333333,True
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,83,263373,1,"['Eminem', 'Rihanna']","['7dGJo4pcD2V6oG8kP0tJRR', '5pKCCKE2ajJHZ9KAiaK11H']",2010-06-18,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,4,Eminem,4.38955,True
7Ie9W94M7OjPoZVV216Xus,Not Afraid,80,248133,1,['Eminem'],['7dGJo4pcD2V6oG8kP0tJRR'],2010-06-18,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,5,Eminem,4.13555,True
5UzU0qw21okODBNUnxptVo,"Lover, Lover",62,193733,0,['Jerrod Niemann'],['0RKP52f5PNDCRZ9Luq2Sr7'],2010-07-13,0.879,0.567,7,-6.509,1,0.0588,0.186,0.0,0.622,0.948,112.473,4,Jerrod Niemann,3.2288833333333335,True
6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,82,196813,0,['Mike Posner'],['2KsP6tYLJlTBvSUxnwlVWa'],2010-08-09,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,4,Mike Posner,3.2802166666666666,True
4uQY80TKE1u4ZQZQKHzVEi,The One That Got Away,70,227333,0,['Katy Perry'],['6jJ0s89eD6GaHleKKya26X'],2010-08-24,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,4,Katy Perry,3.788883333333333,True
3oHNJECGN3bBoGXejlw2b1,Last Friday Night (T.G.I.F.),70,230733,0,['Katy Perry'],['6jJ0s89eD6GaHleKKya26X'],2010-08-24,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,4,Katy Perry,3.84555,True
1mXuMM6zjPgjL4asbBsgnt,Firework,72,227893,0,['Katy Perry'],['6jJ0s89eD6GaHleKKya26X'],2010-08-24,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,4,Katy Perry,3.798216666666667,True
3f7gYMirBEKuc57218BjOY,California Gurls,65,234653,0,"['Katy Perry', 'Snoop Dogg']","['6jJ0s89eD6GaHleKKya26X', '7hJcb9fa4alzcOq3EaNPoG']",2010-08-24,0.788,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005,4,Katy Perry,3.9108833333333335,True
235LXPXfi0SmOaS9TaCh3c,Teenage Dream,67,227741,0,['Katy Perry'],['6jJ0s89eD6GaHleKKya26X'],2010-08-24,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,4,Katy Perry,3.7956833333333333,True
3VA8T3rNy5V24AXxNK5u9E,King of Anything,63,207493,0,['Sara Bareilles'],['2Sqr0DXoaYABbjBo9HaMkM'],2010-09-07,0.676,0.762,1,-4.172,1,0.0351,0.461,0.0,0.0574,0.81,119.003,4,Sara Bareilles,3.4582166666666665,True
49kjlZP49LMD1MrrcvXDET,For the First Time,68,252440,1,['The Script'],['3AQRLZ9PuTAozP28Skbq8V'],2010-09-13,0.388,0.633,9,-4.769,1,0.0275,0.0339,0.0,0.104,0.381,173.947,4,The Script,4.207333333333334,True
23hDnIFoFlVTDA6y8YrJoR,Colder Weather,69,273893,0,['Zac Brown Band'],['6yJCxee7QumYr820xdIsjo'],2010-09-20,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975,4,Zac Brown Band,4.564883333333333,True
1gv4xPanImH17bKZ9rOveR,Raise Your Glass,79,202960,1,['P!nk'],['1KCSPY1glIKqW2TotWuXOR'],2010-10-05,0.7,0.709,7,-5.006,1,0.0839,0.0048,0.0,0.0289,0.625,122.019,4,P!nk,3.3826666666666667,True
